Id,Label,timeset,0,indegree,outdegree,Degree,clustering,eigencentrality,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Computer Science,Computer Science,,0,198,413,611,0.122358,0.971825,6,2,0.990453,0.995181,0.24909
Academic Freedom,Academic Freedom,,0,17,16,33,0.497984,0.040955,0,3,0.411298,0.440964,0.00002
Ada Lovelace,Ada Lovelace,,0,14,20,34,0.316138,0.078323,1,3,0.423902,0.456225,0.000392
Adele Goldstine,Adele Goldstine,,0,68,87,155,0.697012,0.537375,5,2,0.558546,0.604819,0.000552
Aerospace Engineering,Aerospace Engineering,,0,44,43,87,0.388154,0.164314,0,3,0.509202,0.540562,0.002276
Agile Software Development,Agile Software Development,,0,72,87,159,0.693633,0.564775,5,2,0.558546,0.604819,0.000548
Agricultural Engineering,Agricultural Engineering,,0,19,27,46,0.57378,0.04322,0,3,0.459579,0.492369,0.000707
Alan Kay,Alan Kay,,0,71,94,165,0.628219,0.547752,5,2,0.563859,0.613253,0.001045
Alan Turing,Alan Turing,,0,37,24,61,0.248227,0.120254,1,2,0.514888,0.528916,0.00435
Algebra,Algebra,,0,25,24,49,0.456653,0.102411,1,2,0.514888,0.528916,0.000469
Algorithm,Algorithm,,0,100,39,139,0.313844,0.456755,1,2,0.524652,0.546988,0.006797
Alonzo Church,Alonzo Church,,0,10,14,24,0.389474,0.031971,1,3,0.393365,0.420884,0.000075
Analytical Engine,Analytical Engine,,0,13,8,21,0.375,0.059328,1,2,0.504866,0.509639,0.000553
Analytical Chemistry,Analytical Chemistry,,0,35,29,64,0.461879,0.07812,0,3,0.419192,0.459036,0.000758
Anatomy,Anatomy,,0,54,37,91,0.461305,0.118828,4,3,0.453057,0.495181,0.001499
Anthropology,Anthropology,,0,51,34,85,0.421999,0.107662,3,3,0.460089,0.498394,0.001837
Applied Mathematics,Applied Mathematics,,0,30,44,74,0.323137,0.122822,1,2,0.52799,0.553012,0.001767
Applied Physics,Applied Physics,,0,47,34,81,0.559259,0.121267,0,3,0.457552,0.496386,0.000337
Applied Science,Applied Science,,0,28,187,215,0.204547,0.058664,0,2,0.645412,0.725301,0.005361
Archaeology,Archaeology,,0,46,45,91,0.403606,0.103856,3,3,0.469989,0.514859,0.002154
Artificial Intelligence,Artificial Intelligence,,0,111,122,233,0.26356,0.432589,2,2,0.586158,0.646988,0.015508
Aspect-Oriented Software Development,Aspect-Oriented Software Development,,0,67,83,150,0.752101,0.536111,5,2,0.555556,0.6,0.000127
Astrobiology,Astrobiology,,0,49,47,96,0.474126,0.114161,4,3,0.461624,0.51004,0.001899
Astrochemistry,Astrochemistry,,0,40,25,65,0.551797,0.087764,0,3,0.416249,0.453012,0.000906
Astronomy,Astronomy,,0,43,24,67,0.398672,0.107241,0,3,0.450597,0.482731,0.001325
Astrophysics,Astrophysics,,0,55,41,96,0.496672,0.135612,0,3,0.460089,0.504016,0.00164
Atomic Physics,Atomic Physics,,0,47,38,85,0.496721,0.121262,0,3,0.466292,0.506426,0.000438
Automata Theory,Automata Theory,,0,62,97,159,0.412647,0.308993,2,2,0.566166,0.616867,0.000911
Barry Boehm,Barry Boehm,,0,68,82,150,0.783573,0.543521,5,2,0.554813,0.598795,0.000087
Bertrand Meyer,Bertrand Meyer,,0,69,83,152,0.745964,0.545245,5,2,0.555556,0.6,0.000067
Bibliothèque Nationale De France,Bibliothèque Nationale De France,,0,87,0,87,0.181502,0.363932,1,0,0,0,0
Biochemistry,Biochemistry,,0,68,50,118,0.434561,0.157704,4,3,0.439153,0.493976,0.003098
Bioethics,Bioethics,,0,21,14,35,0.559659,0.047492,0,3,0.444802,0.46988,0.000078
Biogeography,Biogeography,,0,58,48,106,0.469309,0.131604,4,3,0.443376,0.495984,0.002805
Bioinformatics,Bioinformatics,,0,66,129,195,0.263553,0.188302,4,2,0.592011,0.655422,0.026333
Biological Engineering,Biological Engineering,,0,34,37,71,0.492743,0.097956,0,3,0.494048,0.525703,0.000397
Biology,Biology,,0,94,52,146,0.290152,0.218224,4,3,0.469989,0.520482,0.006218
Biomechanics,Biomechanics,,0,49,67,116,0.396682,0.11741,4,2,0.543906,0.580723,0.004939
Biomedical Engineering,Biomedical Engineering,,0,40,37,77,0.42317,0.112125,0,3,0.494048,0.525703,0.000913
Biophysics,Biophysics,,0,72,63,135,0.426265,0.184003,4,2,0.541069,0.575904,0.005126
Biostatistics,Biostatistics,,0,46,38,84,0.510889,0.118987,4,3,0.442903,0.48755,0.000641
Biotechnology,Biotechnology,,0,27,187,214,0.205983,0.057887,0,2,0.645412,0.725301,0.004394
Bletchley Park,Bletchley Park,,0,11,7,18,0.3625,0.043302,1,3,0.3467,0.358233,0.000036
Boolean Algebra,Boolean Algebra,,0,14,104,118,0.398658,0.037275,2,2,0.571625,0.625301,0.000881
Botany,Botany,,0,47,41,88,0.5156,0.11105,4,3,0.460089,0.504016,0.000673
Cambridge University Press,Cambridge University Press,,0,37,8,45,0.21723,0.115398,1,4,0.299423,0.317671,0.000257
Capability Maturity Model Integration,Capability Maturity Model Integration,,0,70,82,152,0.768503,0.550918,5,2,0.554813,0.598795,0.000177
Category Theory,Category Theory,,0,22,104,126,0.393052,0.088968,2,2,0.571625,0.625301,0.001511
Cell Biology,Cell Biology,,0,47,36,83,0.537989,0.112936,4,3,0.436383,0.480321,0.000294
Charles Babbage,Charles Babbage,,0,27,14,41,0.264286,0.111632,1,3,0.365961,0.389157,0.000369
